Index,Date,LTP,% Change,High,Low,Open,Qty.,Turnover
990,2021/04/08,164.00,1.86,166.00,159.00,161.00,"10,005","1,621,561.00"
991,2021/04/07,161.00,-3.01,173.00,160.00,173.00,"12,994","2,125,971.00"
992,2021/04/06,166.00,3.75,173.00,160.00,167.00,"27,149","4,481,423.00"
993,2021/04/05,160.00,-2.44,172.00,158.00,172.00,"5,967","955,379.00"
994,2021/04/04,164.00,4.46,166.00,153.00,156.00,"24,693","3,949,510.00"
995,2021/04/01,157.00,1.95,163.00,151.00,151.00,"13,746","2,156,138.00"
996,2021/04/01,154.00,-1.28,158.00,153.00,155.00,"10,601","2,156,138.00"
997,2021/03/30,156.00,0.65,158.00,155.00,158.00,"6,595","1,029,045.00"
998,2021/03/29,155.00,-1.9,157.00,154.00,155.00,"4,855","750,917.00"
999,2021/03/25,158.00,-1.86,167.00,156.00,164.00,"9,346","1,502,874.00"
1000,2021/03/24,161.00,-1.23,168.00,157.00,163.00,"14,729","2,391,183.00"
1001,2021/03/23,163.00,1.87,171.00,155.00,160.00,"10,603","1,722,987.00"
1002,2021/03/22,160.00,0.63,165.00,151.00,156.00,"13,736","2,182,167.00"
1003,2021/03/21,159.00,-4.22,163.00,150.00,163.00,"36,167","5,633,273.00"
1004,2021/03/18,166.00,-4.05,175.00,158.00,174.00,"38,526","6,388,199.00"
1005,2021/03/17,173.00,-8.95,202.00,171.00,199.00,"42,901","7,595,410.00"
1006,2021/03/16,190.00,9.83,190.00,181.00,181.00,"45,114","8,531,681.00"
1007,2021/03/15,173.00,9.49,173.00,149.00,165.00,"78,184","12,874,388.00"
1008,2021/03/14,158.00,9.72,158.00,144.00,144.00,"63,998","9,847,723.00"
1009,2021/03/10,144.00,9.92,144.00,125.00,125.00,"48,123","6,773,963.00"
1010,2021/03/09,131.00,4.8,137.00,123.00,123.00,"16,363","2,150,062.00"
1011,2021/03/07,125.00,-0.79,128.00,123.00,124.00,"5,140","644,860.00"
1012,2021/03/04,126.00,0,130.00,126.00,128.00,"3,800","480,200.00"
1013,2021/03/03,126.00,3.28,128.00,120.00,120.00,"3,954","487,660.00"
1014,2021/03/02,122.00,-3.94,125.00,121.00,125.00,"6,524","799,188.00"
1015,2021/03/01,127.00,0.79,128.00,124.00,124.00,"1,855","233,450.00"
1016,2021/02/28,126.00,-3.82,129.00,124.00,129.00,"11,867","1,491,872.00"
1017,2021/02/25,131.00,-2.24,138.00,130.00,132.00,"11,430","1,525,590.00"
1018,2021/02/24,134.00,-2.19,138.00,134.00,136.00,"6,370","866,980.00"
1019,2021/02/23,137.00,-0.72,144.00,131.00,144.00,"10,790","1,482,253.00"
1020,2021/02/22,138.00,3.76,146.00,132.00,133.00,"43,693","6,170,307.00"
1021,2021/02/21,133.00,3.1,134.00,127.00,127.00,"8,321","1,098,389.00"
1022,2021/02/18,129.00,-2.27,132.00,128.00,130.00,"3,571","464,250.00"
1023,2021/02/17,132.00,-1.49,136.00,128.00,136.00,"1,605","209,310.00"
1024,2021/02/16,134.00,0.75,136.00,127.00,135.00,"8,193","1,089,403.00"
1025,2021/02/15,133.00,3.1,133.00,127.00,129.00,"5,791","748,564.00"
1026,2021/02/14,129.00,-2.27,130.00,126.00,130.00,"5,880","754,890.00"
1027,2021/02/11,132.00,-0.75,134.00,131.00,132.00,"3,510","462,400.00"
1028,2021/02/10,133.00,-1.48,136.00,132.00,133.00,"6,339","843,866.00"
1029,2021/02/09,134.00,-4.29,141.00,133.00,140.00,"14,554","2,388,891.00"
1030,2021/02/08,140.00,2.19,144.00,133.00,139.00,"26,431","3,755,533.00"
1031,2021/02/07,137.00,9.6,137.00,123.00,125.00,"41,088","5,417,992.00"
1032,2021/02/04,125.00,0.81,127.00,120.00,120.00,"10,159","1,269,256.00"
1033,2021/02/03,124.00,0,126.00,122.00,122.00,"7,821","979,319.00"
1034,2021/02/02,124.00,0,128.00,120.00,122.00,"8,656","1,072,428.00"
1035,2021/02/01,124.00,3.33,127.00,118.00,118.00,"5,905","740,305.00"
1036,2021/01/31,120.00,-4.76,124.00,120.00,124.00,"3,372","434,624.00"
1037,2021/01/28,126.00,0.8,127.00,123.00,123.00,"6,124","770,939.00"
1038,2021/01/27,125.00,1.63,128.00,121.00,121.00,"8,219","1,031,163.00"
1039,2021/01/26,123.00,-3.15,128.00,123.00,127.00,"6,450","805,680.00"
1040,2021/01/25,127.00,1.6,132.00,123.00,123.00,"14,406","1,826,761.00"
1041,2021/01/24,125.00,-1.57,132.00,124.00,129.00,"13,101","1,656,625.00"
1042,2021/01/21,127.00,8.55,128.00,118.00,118.00,"24,656","3,006,648.00"
1043,2021/01/20,117.00,0.86,119.00,114.00,115.00,"7,185","837,015.00"
1044,2021/01/19,116.00,-0.85,119.00,116.00,117.00,"4,577","538,046.00"
1045,2021/01/18,117.00,-0.85,121.00,116.00,118.00,"5,076","603,911.00"
1046,2021/01/17,118.00,-0.84,120.00,114.00,114.00,"5,336","633,282.00"
1047,2021/01/13,119.00,3.48,121.00,113.00,113.00,"11,061","1,306,475.00"
1048,2021/01/12,115.00,0,117.00,113.00,113.00,"3,290","379,600.00"
1049,2021/01/11,115.00,-0.86,116.00,114.00,114.00,"3,890","446,540.00"
1050,2021/01/10,116.00,-1.69,118.00,112.00,116.00,"2,119","242,992.00"
1051,2021/01/07,118.00,3.51,120.00,112.00,114.00,"4,845","573,005.00"
1052,2021/01/06,114.00,-4.2,127.00,113.00,124.00,"11,045","1,345,160.00"
1053,2021/01/05,119.00,9.17,119.00,109.00,110.00,"13,483","1,542,791.00"
1054,2021/01/04,109.00,2.83,111.00,106.00,106.00,"2,465","266,110.00"
1055,2021/01/03,106.00,-0.93,109.00,102.00,109.00,"5,440","581,533.00"
1056,2020/12/31,107.00,0,107.00,105.00,105.00,"3,640","386,330.00"
1057,2020/12/30,107.00,0.94,107.00,104.00,105.00,"3,211","337,619.00"
1058,2020/12/29,106.00,0,109.00,104.00,104.00,"1,300","138,480.00"
1059,2020/12/28,106.00,-1.85,109.00,106.00,106.00,"3,435","368,830.00"
1060,2020/12/27,108.00,-1.82,112.00,108.00,108.00,"2,140","233,640.00"
1061,2020/12/24,110.00,-3.51,112.00,108.00,112.00,"1,636","179,406.00"
1062,2020/12/23,114.00,0.88,115.00,111.00,112.00,"8,184","921,144.00"
